Date/Time,Cooling:Electricity [J](Monthly),Heating:NaturalGas [J](Monthly),Fans:Electricity [J](Monthly),HeatingCoils:EnergyTransfer [J](Monthly),CoolingCoils:EnergyTransfer [J](Monthly),InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Cooling:Electricity [J](RunPeriod),Heating:NaturalGas [J](RunPeriod),Fans:Electricity [J](RunPeriod),HeatingCoils:EnergyTransfer [J](RunPeriod),CoolingCoils:EnergyTransfer [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),Electricity:Facility [J](TimeStep),Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),Electricity:HVAC [J](Monthly),NaturalGas:Facility [J](Monthly),NaturalGas:HVAC [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),Electricity:HVAC [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),NaturalGas:HVAC [J](RunPeriod) 
 06/01  09:30:00,,,,,,,,,,,,,,,16091855.167098248 
 06/01  09:45:00,,,,,,,,,,,,,,,16131981.923445672 
 06/01  10:00:00,,,,,,,,,,,,,,,16249068.695107536 
 06/01  10:15:00,,,,,,,,,,,,,,,16438661.363828033 
 06/01  10:30:00,,,,,,,,,,,,,,,16309537.65708159 
 06/01  10:45:00,,,,,,,,,,,,,,,16155270.995216468 
 06/01  11:00:00,,,,,,,,,,,,,,,15973407.447011473 
 06/01  11:15:00,,,,,,,,,,,,,,,15286868.329520823 
 06/01  11:30:00,,,,,,,,,,,,,,,15198688.386926033 
 06/01  11:45:00,,,,,,,,,,,,,,,15146452.47704298 
 06/01  12:00:00,,,,,,,,,,,,,,,15141244.199822223 
 06/01  12:15:00,,,,,,,,,,,,,,,13083444.580860443 
 06/01  12:30:00,,,,,,,,,,,,,,,13105267.058107533 
 06/01  12:45:00,,,,,,,,,,,,,,,13160528.42263087 
 06/01  13:00:00,,,,,,,,,,,,,,,13210646.54034113 
 06/01  13:15:00,,,,,,,,,,,,,,,15077575.049973074 
 06/01  13:30:00,,,,,,,,,,,,,,,15057615.602164783 
 06/01  13:45:00,,,,,,,,,,,,,,,15043967.850394396 
 06/01  14:00:00,,,,,,,,,,,,,,,15047810.310130054 
 06/01  14:15:00,,,,,,,,,,,,,,,15658884.252292857 
 06/01  14:30:00,,,,,,,,,,,,,,,15746865.98047299 
 06/01  14:45:00,,,,,,,,,,,,,,,15904444.044299345 
 06/01  15:00:00,,,,,,,,,,,,,,,16035460.807408523 
 06/01  15:15:00,,,,,,,,,,,,,,,15720282.57367133 
 06/01  15:30:00,,,,,,,,,,,,,,,15857846.708540801 
 06/01  15:45:00,,,,,,,,,,,,,,,15975079.673042633 
 06/01  16:00:00,,,,,,,,,,,,,,,16079585.392664377 
 06/01  16:15:00,,,,,,,,,,,,,,,15169912.180191673 
 06/01  16:30:00,,,,,,,,,,,,,,,15177487.353665587 
