step,zone,baseline_temp_c,agent_temp_c,baseline_occ,agent_occ
70,SPACE2-1,25.761,23.0,5,5
70,SPACE3-1,26.153,22.8,11,11
70,SPACE4-1,34.029,29.6,5,5
70,SPACE5-1,26.192,22.5,20,20
71,SPACE1-1,27.539,24.8,11,11
71,SPACE2-1,26.687,24.5,5,5
71,SPACE3-1,27.151,24.3,11,11
71,SPACE4-1,35.638,33.0,5,5
71,SPACE5-1,27.342,23.8,20,20
72,SPACE1-1,28.246,25.7,11,11
72,SPACE2-1,27.338,25.4,5,5
72,SPACE3-1,27.842,25.2,11,11
72,SPACE4-1,36.636,34.8,5,5
72,SPACE5-1,28.228,24.8,20,20
73,SPACE1-1,28.393,26.3,5,11
73,SPACE2-1,27.482,26.1,2,5
73,SPACE3-1,27.989,25.8,5,11
73,SPACE4-1,37.012,35.7,2,5
73,SPACE5-1,28.487,25.5,10,20
74,SPACE1-1,28.343,26.4,5,6
74,SPACE2-1,27.475,26.2,2,2
74,SPACE3-1,27.95,25.9,5,6
74,SPACE4-1,36.953,36.1,2,2
74,SPACE5-1,28.501,25.7,10,10
75,SPACE1-1,28.34,26.5,5,6
75,SPACE2-1,27.529,26.4,2,2
75,SPACE3-1,27.969,26.0,5,6
75,SPACE4-1,36.653,36.1,2,2
75,SPACE5-1,28.579,25.8,10,10
76,SPACE1-1,28.328,26.5,5,6
76,SPACE2-1,27.586,26.5,2,2
76,SPACE3-1,27.99,26.1,5,6
76,SPACE4-1,36.067,35.8,2,2
76,SPACE5-1,28.707,26.0,10,10
77,SPACE1-1,28.008,26.5,1,6
77,SPACE2-1,27.331,26.6,0,2
77,SPACE3-1,27.69,26.1,1,6
77,SPACE4-1,34.702,35.3,0,2
77,SPACE5-1,28.506,26.2,2,10
78,SPACE1-1,27.575,26.4,1,1
78,SPACE2-1,26.994,26.5,0,0
78,SPACE3-1,27.282,26.0,1,1
78,SPACE4-1,33.284,34.0,0,0
78,SPACE5-1,28.167,26.1,2,2
79,SPACE1-1,27.236,26.2,1,1
79,SPACE2-1,26.747,26.2,0,0
79,SPACE3-1,26.972,25.8,1,1
79,SPACE4-1,32.221,32.6,0,0
79,SPACE5-1,27.927,26.1,2,2
80,SPACE1-1,26.902,26.0,1,1
80,SPACE2-1,26.491,25.8,0,0
80,SPACE3-1,26.671,25.7,1,1
80,SPACE4-1,31.239,31.3,0,0
80,SPACE5-1,27.701,26.1,2,2
81,SPACE1-1,26.425,25.8,1,1
81,SPACE2-1,26.076,25.5,0,0
81,SPACE3-1,26.193,25.6,1,1
81,SPACE4-1,30.23,30.3,0,0
81,SPACE5-1,27.314,26.1,2,2
82,SPACE1-1,25.947,25.5,1,1
82,SPACE2-1,25.672,25.0,0,0
82,SPACE3-1,25.712,25.2,1,1
82,SPACE4-1,29.332,29.2,0,0
82,SPACE5-1,26.931,25.9,2,2
83,SPACE1-1,25.547,25.1,1,1
83,SPACE2-1,25.366,24.6,0,0
83,SPACE3-1,25.357,24.9,1,1
83,SPACE4-1,28.574,28.3,0,0
83,SPACE5-1,26.653,25.6,2,2
84,SPACE1-1,25.119,24.8,1,1
84,SPACE2-1,25.04,24.3,0,0
84,SPACE3-1,24.975,24.6,1,1
84,SPACE4-1,27.84,27.5,0,0
84,SPACE5-1,26.373,25.4,2,2
85,SPACE1-1,24.665,24.5,0,1
85,SPACE2-1,24.655,23.9,0,0
85,SPACE3-1,24.546,24.3,0,1
85,SPACE4-1,27.086,26.8,0,0
85,SPACE5-1,26.02,25.2,0,2
86,SPACE1-1,24.181,24.1,0,0
86,SPACE2-1,24.237,23.6,0,0
86,SPACE3-1,24.082,24.0,0,0
86,SPACE4-1,26.379,26.1,0,0
86,SPACE5-1,25.621,25.0,0,0
87,SPACE1-1,23.755,23.8,0,0
87,SPACE2-1,23.865,23.3,0,0
87,SPACE3-1,23.673,23.6,0,0
87,SPACE4-1,25.731,25.4,0,0
87,SPACE5-1,25.264,24.8,0,0
88,SPACE1-1,23.396,23.5,0,0
88,SPACE2-1,23.54,23.0,0,0
88,SPACE3-1,23.325,23.2,0,0
88,SPACE4-1,25.165,24.9,0,0
88,SPACE5-1,24.958,24.4,0,0
89,SPACE1-1,23.042,23.2,0,0
89,SPACE2-1,23.219,22.7,0,0
89,SPACE3-1,22.984,22.7,0,0
89,SPACE4-1,24.608,24.3,0,0
89,SPACE5-1,24.642,24.1,0,0
90,SPACE1-1,22.755,22.9,0,0
90,SPACE2-1,22.95,22.4,0,0
90,SPACE3-1,22.709,22.4,0,0
90,SPACE4-1,24.152,23.9,0,0
90,SPACE5-1,24.365,23.9,0,0
91,SPACE1-1,22.494,22.5,0,0
91,SPACE2-1,22.699,22.2,0,0
91,SPACE3-1,22.459,22.1,0,0
91,SPACE4-1,23.734,23.4,0,0
91,SPACE5-1,24.111,23.6,0,0
92,SPACE1-1,22.258,22.1,0,0
92,SPACE2-1,22.468,22.0,0,0
92,SPACE3-1,22.232,21.9,0,0
92,SPACE4-1,23.357,23.1,0,0
92,SPACE5-1,23.862,23.4,0,0
93,SPACE1-1,22.038,21.9,0,0
93,SPACE2-1,22.249,21.8,0,0
93,SPACE3-1,22.019,21.7,0,0
93,SPACE4-1,23.015,22.7,0,0
93,SPACE5-1,23.634,23.2,0,0
94,SPACE1-1,21.831,21.6,0,0
94,SPACE2-1,22.042,21.6,0,0
94,SPACE3-1,21.817,21.5,0,0
94,SPACE4-1,22.701,22.4,0,0
94,SPACE5-1,23.413,23.0,0,0
95,SPACE1-1,21.638,21.4,0,0
95,SPACE2-1,21.846,21.4,0,0
95,SPACE3-1,21.627,21.3,0,0
95,SPACE4-1,22.414,22.1,0,0
95,SPACE5-1,23.197,22.7,0,0
96,SPACE1-1,21.465,21.2,0,0
96,SPACE2-1,21.67,21.3,0,0
96,SPACE3-1,21.455,21.1,0,0
96,SPACE4-1,22.162,21.8,0,0
96,SPACE5-1,23.023,22.6,0,0
